"","A̱os","$Y/BT_{sept}$","$C/N_{sept}$"
"1","1990/91","0.155","0.091"
"2","1991/92","0.237","0.162"
"3","1992/93","0.234","0.151"
"4","1993/94","0.367","0.213"
"5","1994/95","0.145","0.081"
"6","1995/96","0.231","0.143"
"7","1996/97","0.494","0.311"
"8","1997/98","0.093","0.064"
"9","1998/99","0.307","0.219"
"10","1999/00","0.407","0.272"
"11","2000/01","0.108","0.069"
"12","2001/02","0.422","0.251"
"13","2002/03","0.372","0.243"
"14","2003/04","0.483","0.376"
"15","2004/05","0.376","0.283"
"16","2005/06","0.368","0.221"
"17","2006/07","0.304","0.175"
"18","2007/08","0.222","0.145"
"19","2008/09","0.309","0.214"
"20","2009/10","0.317","0.2"
"21","2010/11","0.265","0.157"
"22","2011/12","0.296","0.19"
"23","2012/13","0.207","0.135"
"24","2013/14","0.155","0.108"
"25","2014/15","0.172","0.111"
"26","2015/16","0.144","0.096"
"27","2016/17","0.142","0.108"
"28","2017/18","0.133","0.092"
"29","2018/19","0.153","0.091"
"30","2019/20","0.168","0.117"
"31","2020/21","0.197","0.12"
"32","2021/22","0.108","0.064"
